,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
97268,1577059380,49d3fa,47.6612548828125,19.6644287109375,219.58624982635956,123.7272967471946,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059379.451,1577059379.965
104440,1577059390,49d3fa,47.649939585540245,19.689471905048077,220.29979376059268,123.76428481544563,-0.32511999999999996,FDB1782 ,False,False,False,1421.0,10660.38,10447.02,1577059389.945,1577059389.945
110011,1577059400,49d3fa,47.63937377929688,19.713111877441406,220.30519967677088,123.28187911157872,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059399.475,1577059399.95
114734,1577059410,49d3fa,47.62811279296875,19.73858642578125,220.45411054604457,123.09673438538988,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059409.809,1577059409.9129999
120813,1577059420,49d3fa,47.61716681011652,19.763347919170673,220.58792440418162,123.39358489664288,0.0,FDB1782 ,False,False,False,1421.0,10660.38,10447.02,1577059419.949,1577059420.0
127923,1577059430,49d3fa,47.60622703422935,19.78771503155048,220.58792440418162,123.39358489664288,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059429.889,1577059429.99
134468,1577059440,49d3fa,47.59524536132813,19.812469482421875,220.7354455897657,123.20860172014143,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059439.988,1577059439.988
140239,1577059450,49d3fa,47.58462524414063,19.836502075195312,220.7354455897657,123.20860172014143,0.0,FDB1782 ,False,False,False,1421.0,10660.38,10447.02,1577059449.861,1577059450.0
146217,1577059460,49d3fa,47.57373046875,19.86101531982422,221.01761994925982,123.32018383611789,0.0,FDB1782 ,False,False,False,1421.0,10660.38,10447.02,1577059459.822,1577059459.998
152356,1577059470,49d3fa,47.56270069186971,19.88567645733173,221.15587960840176,123.61613752892784,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059469.978,1577059469.978
158508,1577059480,49d3fa,47.55221557617188,19.90887451171875,221.44110365843048,123.72698490457779,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059479.457,1577059479.9589999
165175,1577059490,49d3fa,47.540821140095346,19.93412898137019,222.2975563628693,123.57974202783942,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059489.822,1577059489.976
170608,1577059500,49d3fa,47.53006757315943,19.958214393028843,222.59023486765537,123.2126137486702,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059499.585,1577059499.918
